c i 1-D powers of two
Problem: ir65536, setup: 23.22 s, time: 4.65 ms, ``mflops'': 564.05
Problem: ir131072, setup: 48.19 s, time: 11.84 ms, ``mflops'': 470.37
Problem: ir262144, setup: 35.57 s, time: 32.48 ms, ``mflops'': 363.2
Problem: ir524288, setup: 107.45 s, time: 82.78 ms, ``mflops'': 300.83
Problem: ir1048576, setup: 96.15 s, time: 176.13 ms, ``mflops'': 297.67
Problem: ir2097152, setup: 258.24 s, time: 449.33 ms, ``mflops'': 245.03
r o 1-D powers of two
Problem: or2, setup: 61.00 us, time: 82.90 ns, ``mflops'': 60.313
Problem: or4, setup: 61.00 us, time: 105.96 ns, ``mflops'': 188.74
Problem: or8, setup: 91.00 us, time: 155.56 ns, ``mflops'': 385.69
Problem: or16, setup: 92.00 us, time: 261.29 ns, ``mflops'': 612.34
Problem: or32, setup: 3.27 ms, time: 626.04 ns, ``mflops'': 638.94
Problem: or64, setup: 8.58 ms, time: 1.58 us, ``mflops'': 607.61
Problem: or128, setup: 22.16 ms, time: 3.16 us, ``mflops'': 708.94
Problem: or256, setup: 52.69 ms, time: 7.06 us, ``mflops'': 724.76
Problem: or512, setup: 90.63 ms, time: 15.86 us, ``mflops'': 726.43
Problem: or1024, setup: 173.14 ms, time: 35.24 us, ``mflops'': 726.52
Problem: or2048, setup: 324.48 ms, time: 76.07 us, ``mflops'': 740.33
Problem: or4096, setup: 675.31 ms, time: 186.97 us, ``mflops'': 657.22
Problem: or8192, setup: 1.36 s, time: 427.34 us, ``mflops'': 623.01
Problem: or16384, setup: 2.84 s, time: 950.06 us, ``mflops'': 603.58
Problem: or32768, setup: 5.74 s, time: 2.05 ms, ``mflops'': 600.84
Problem: or65536, setup: 11.33 s, time: 4.57 ms, ``mflops'': 573.46
Problem: or131072, setup: 31.53 s, time: 14.22 ms, ``mflops'': 391.6
Problem: or262144, setup: 95.40 s, time: 39.90 ms, ``mflops'': 295.68
Problem: or524288, setup: 241.31 s, time: 84.00 ms, ``mflops'': 296.45
Problem: or1048576, setup: 479.87 s, time: 185.75 ms, ``mflops'': 282.26
Problem: or2097152, setup: 761.00 s, time: 446.12 ms, ``mflops'': 246.79
r i 1-D non-powers of two
Problem: ir6, setup: 580.00 us, time: 146.26 ns, ``mflops'': 265.11
Problem: ir9, setup: 244.00 us, time: 257.57 ns, ``mflops'': 276.91
Problem: ir12, setup: 611.00 us, time: 211.00 ns, ``mflops'': 509.71
Problem: ir15, setup: 275.00 us, time: 307.40 ns, ``mflops'': 476.6
Problem: ir18, setup: 11.97 ms, time: 676.27 ns, ``mflops'': 277.47
Problem: ir24, setup: 29.15 ms, time: 679.99 ns, ``mflops'': 404.56
Problem: ir36, setup: 38.95 ms, time: 1.34 us, ``mflops'': 347.84
Problem: ir80, setup: 104.64 ms, time: 2.71 us, ``mflops'': 467.41
Problem: ir108, setup: 75.85 ms, time: 4.17 us, ``mflops'': 437.02
Problem: ir210, setup: 85.81 ms, time: 9.78 us, ``mflops'': 414.18
Problem: ir504, setup: 297.53 ms, time: 20.93 us, ``mflops'': 540.5
Problem: ir1000, setup: 450.76 ms, time: 41.97 us, ``mflops'': 593.59
Problem: ir1960, setup: 640.02 ms, time: 99.45 us, ``mflops'': 538.88
Problem: ir4725, setup: 214.62 ms, time: 337.69 us, ``mflops'': 426.98
Problem: ir10368, setup: 6.24 s, time: 580.94 us, ``mflops'': 595.19
Problem: ir27000, setup: 16.92 s, time: 1.92 ms, ``mflops'': 517.73
Problem: ir75600, setup: 53.04 s, time: 6.88 ms, ``mflops'': 445
Problem: ir165375, setup: 9.31 s, time: 30.37 ms, ``mflops'': 235.97
Problem: ir362880, setup: 133.97 s, time: 57.57 ms, ``mflops'': 291.04
Problem: ir1562500, setup: 36.70 s, time: 429.43 ms, ``mflops'': 187.16
r o 1-D non-powers of two
Problem: or6, setup: 61.00 us, time: 146.48 ns, ``mflops'': 264.7
Problem: or9, setup: 91.00 us, time: 257.57 ns, ``mflops'': 276.91
Problem: or12, setup: 92.00 us, time: 211.00 ns, ``mflops'': 509.71
Problem: or15, setup: 61.00 us, time: 307.40 ns, ``mflops'': 476.6
Problem: or18, setup: 2.87 ms, time: 605.50 ns, ``mflops'': 309.9
Problem: or24, setup: 9.46 ms, time: 642.76 ns, ``mflops'': 427.99
Problem: or36, setup: 12.64 ms, time: 1.00 us, ``mflops'': 464.22
Problem: or80, setup: 52.78 ms, time: 2.06 us, ``mflops'': 613.62
Problem: or108, setup: 31.71 ms, time: 3.44 us, ``mflops'': 530.87
Problem: or210, setup: 24.30 ms, time: 8.54 us, ``mflops'': 474.21
Problem: or504, setup: 129.98 ms, time: 19.20 us, ``mflops'': 589.22
Problem: or1000, setup: 201.22 ms, time: 39.59 us, ``mflops'': 629.38
Problem: or1960, setup: 290.96 ms, time: 95.15 us, ``mflops'': 563.22
Problem: or4725, setup: 217.64 ms, time: 346.28 us, ``mflops'': 416.38
Problem: or10368, setup: 3.14 s, time: 559.00 us, ``mflops'': 618.55
Problem: or27000, setup: 8.54 s, time: 1.86 ms, ``mflops'': 533.61
Problem: or75600, setup: 36.63 s, time: 6.81 ms, ``mflops'': 449.97
Problem: or165375, setup: 9.11 s, time: 32.30 ms, ``mflops'': 221.92
Problem: or362880, setup: 390.54 s, time: 60.96 ms, ``mflops'': 274.86
Problem: or1562500, setup: 224.44 s, time: 341.30 ms, ``mflops'': 235.49
r i 2-D powers of two
Problem: ir4x4, setup: 2.93 ms, time: 424.77 ns, ``mflops'': 376.67
Problem: ir8x4, setup: 2.96 ms, time: 765.75 ns, ``mflops'': 522.37
Problem: ir4x8, setup: 4.15 ms, time: 657.65 ns, ``mflops'': 608.22
Problem: ir8x8, setup: 3.05 ms, time: 1.28 us, ``mflops'': 751.13
Problem: ir16x16, setup: 5.16 ms, time: 5.65 us, ``mflops'': 906.37
