c i 1-D powers of two
Problem: ir8, setup: 913.64 ms, time: 153.70 ns, ``mflops'': 390.37
Problem: ir16, setup: 870.35 ms, time: 254.30 ns, ``mflops'': 629.17
Problem: ir32, setup: 25.95 s, time: 635.31 ns, ``mflops'': 629.61
Problem: ir64, setup: 65.03 s, time: 1.58 us, ``mflops'': 606.21
Problem: ir128, setup: 117.62 s, time: 3.46 us, ``mflops'': 647.82
Problem: ir256, setup: 220.69 s, time: 7.18 us, ``mflops'': 712.74
Problem: ir512, setup: 324.46 s, time: 16.30 us, ``mflops'': 706.55
Problem: ir1024, setup: 462.26 s, time: 33.50 us, ``mflops'': 764.09
Problem: ir2048, setup: 604.72 s, time: 71.66 us, ``mflops'': 785.93
Problem: ir4096, setup: 744.09 s, time: 174.03 us, ``mflops'': 706.08
Problem: ir8192, setup: 913.64 s, time: 407.25 us, ``mflops'': 653.75
Problem: ir16384, setup: 1050.91 s, time: 866.12 us, ``mflops'': 662.08
Problem: ir32768, setup: 1224.07 s, time: 1.89 ms, ``mflops'': 649.34
Problem: ir65536, setup: 1375.43 s, time: 4.62 ms, ``mflops'': 566.92
Problem: ir131072, setup: 1425.29 s, time: 10.99 ms, ``mflops'': 506.97
Problem: ir262144, setup: 938.93 s, time: 32.06 ms, ``mflops'': 367.97
Problem: ir524288, setup: 1252.36 s, time: 82.00 ms, ``mflops'': 303.71
Problem: ir1048576, setup: 1049.26 s, time: 178.36 ms, ``mflops'': 293.95
Problem: ir2097152, setup: 1463.21 s, time: 436.99 ms, ``mflops'': 251.95
r o 1-D powers of two
Problem: or2, setup: 92.00 us, time: 82.67 ns, ``mflops'': 60.48
Problem: or4, setup: 61.00 us, time: 106.42 ns, ``mflops'': 187.93
Problem: or8, setup: 92.00 us, time: 153.70 ns, ``mflops'': 390.37
Problem: or16, setup: 92.00 us, time: 253.83 ns, ``mflops'': 630.34
Problem: or32, setup: 6.63 s, time: 635.25 ns, ``mflops'': 629.67
Problem: or64, setup: 20.02 s, time: 1.51 us, ``mflops'': 634.58
Problem: or128, setup: 48.31 s, time: 2.95 us, ``mflops'': 759.08
Problem: or256, setup: 104.08 s, time: 6.57 us, ``mflops'': 778.92
Problem: or512, setup: 156.61 s, time: 14.55 us, ``mflops'': 791.92
Problem: or1024, setup: 234.22 s, time: 30.94 us, ``mflops'': 827.37
Problem: or2048, setup: 303.07 s, time: 69.39 us, ``mflops'': 811.59
Problem: or4096, setup: 377.25 s, time: 169.80 us, ``mflops'': 723.69
Problem: or8192, setup: 448.65 s, time: 391.09 us, ``mflops'': 680.76
Problem: or16384, setup: 530.17 s, time: 833.69 us, ``mflops'': 687.84
Problem: or32768, setup: 605.18 s, time: 1.84 ms, ``mflops'': 669.55
Problem: or65536, setup: 678.32 s, time: 4.25 ms, ``mflops'': 616.7
Problem: or131072, setup: 959.60 s, time: 14.07 ms, ``mflops'': 395.97
Problem: or262144, setup: 1052.68 s, time: 39.99 ms, ``mflops'': 295
Problem: or524288, setup: 1285.54 s, time: 88.03 ms, ``mflops'': 282.89
Problem: or1048576, setup: 1454.62 s, time: 203.08 ms, ``mflops'': 258.17
Problem: or2097152, setup: 1770.80 s, time: 427.45 ms, ``mflops'': 257.58
r i 1-D non-powers of two
Problem: ir6, setup: 862.77 ms, time: 144.16 ns, ``mflops'': 268.97
Problem: ir9, setup: 437.46 ms, time: 219.85 ns, ``mflops'': 324.42
Problem: ir12, setup: 833.10 ms, time: 212.39 ns, ``mflops'': 506.38
Problem: ir15, setup: 495.61 ms, time: 304.63 ns, ``mflops'': 480.94
Problem: ir18, setup: 28.07 s, time: 607.39 ns, ``mflops'': 308.94
Problem: ir24, setup: 64.38 s, time: 663.27 ns, ``mflops'': 414.76
Problem: ir36, setup: 86.35 s, time: 1.42 us, ``mflops'': 326.87
Problem: ir80, setup: 226.58 s, time: 2.60 us, ``mflops'': 486.15
Problem: ir108, setup: 145.97 s, time: 4.04 us, ``mflops'': 451.55
Problem: ir210, setup: 154.42 s, time: 9.08 us, ``mflops'': 446.2
Problem: ir504, setup: 487.71 s, time: 21.16 us, ``mflops'': 534.46
Problem: ir1000, setup: 578.80 s, time: 38.93 us, ``mflops'': 639.99
Problem: ir1960, setup: 537.77 s, time: 99.45 us, ``mflops'': 538.88
Problem: ir4725, setup: 188.54 s, time: 354.88 us, ``mflops'': 406.3
Problem: ir10368, setup: 2554.90 s, time: 601.19 us, ``mflops'': 575.14
Problem: ir27000, setup: 3669.40 s, time: 1.78 ms, ``mflops'': 558.82
Problem: ir75600, setup: 4850.23 s, time: 6.32 ms, ``mflops'': 484.76
Problem: ir165375, setup: 458.69 s, time: 31.26 ms, ``mflops'': 229.29
