c i 1-D powers of two
Problem: ic96x96, setup: 192.10 ms, time: 791.75 us, ``mflops'': 766.49
Problem: ic100x100, setup: 163.28 ms, time: 944.38 us, ``mflops'': 703.52
Problem: ic105x105, setup: 109.19 ms, time: 1.29 ms, ``mflops'': 574
Problem: ic112x112, setup: 168.07 ms, time: 1.34 ms, ``mflops'': 635.77
Problem: ic120x120, setup: 262.70 ms, time: 1.33 ms, ``mflops'': 746.9
Problem: ic144x144, setup: 334.74 ms, time: 2.00 ms, ``mflops'': 742.17
Problem: ic180x180, setup: 471.62 ms, time: 3.43 ms, ``mflops'': 706.86
Problem: ic240x240, setup: 747.66 ms, time: 6.38 ms, ``mflops'': 713.85
Problem: ic360x360, setup: 1.39 s, time: 21.67 ms, ``mflops'': 507.8
Problem: ic1000x1000, setup: 10.72 s, time: 249.15 ms, ``mflops'': 399.99
Problem: ic1050x1050, setup: 11.88 s, time: 295.64 ms, ``mflops'': 374.27
Problem: ic1458x1458, setup: 23.55 s, time: 743.44 ms, ``mflops'': 300.51
Problem: ic1960x1960, setup: 27.87 s, time: 1.19 s, ``mflops'': 353.13
c o 2-D non-powers of two
Problem: oc5x5, setup: 3.08 ms, time: 989.32 ns, ``mflops'': 586.75
Problem: oc6x6, setup: 3.33 ms, time: 1.07 us, ``mflops'': 873.24
Problem: oc7x7, setup: 3.27 ms, time: 2.20 us, ``mflops'': 625.71
Problem: oc9x9, setup: 4.55 ms, time: 4.20 us, ``mflops'': 610.89
Problem: oc10x10, setup: 4.85 ms, time: 3.46 us, ``mflops'': 960.65
Problem: oc11x11, setup: 6.53 ms, time: 8.73 us, ``mflops'': 479.25
Problem: oc12x12, setup: 5.19 ms, time: 4.32 us, ``mflops'': 1194.3
Problem: oc13x13, setup: 6.87 ms, time: 8.65 us, ``mflops'': 723.39
Problem: oc14x14, setup: 6.38 ms, time: 10.52 us, ``mflops'': 709.19
Problem: oc15x15, setup: 5.74 ms, time: 8.69 us, ``mflops'': 1011.6
Problem: oc25x24, setup: 19.93 ms, time: 51.15 us, ``mflops'': 541.25
Problem: oc48x48, setup: 82.66 ms, time: 175.52 us, ``mflops'': 733.14
