c i 1-D powers of two
Problem: ic1960x1960, setup: 75.42 ms, time: 2.55 s, ``mflops'': 164.62
c o 2-D non-powers of two
Problem: oc5x5, setup: 1.13 ms, time: 1.35 us, ``mflops'': 429.18
Problem: oc6x6, setup: 1.22 ms, time: 1.36 us, ``mflops'': 686.17
Problem: oc7x7, setup: 1.16 ms, time: 4.35 us, ``mflops'': 316.08
Problem: oc9x9, setup: 1.46 ms, time: 5.51 us, ``mflops'': 465.64
Problem: oc10x10, setup: 1.43 ms, time: 5.43 us, ``mflops'': 612.3
Problem: oc11x11, setup: 1.77 ms, time: 16.96 us, ``mflops'': 246.8
Problem: oc12x12, setup: 1.50 ms, time: 7.29 us, ``mflops'': 708.33
Problem: oc13x13, setup: 1.74 ms, time: 16.45 us, ``mflops'': 380.07
Problem: oc14x14, setup: 1.43 ms, time: 18.93 us, ``mflops'': 394.26
Problem: oc15x15, setup: 1.46 ms, time: 16.63 us, ``mflops'': 528.5
Problem: oc25x24, setup: 4.03 ms, time: 62.00 us, ``mflops'': 446.53
Problem: oc48x48, setup: 20.88 ms, time: 286.64 us, ``mflops'': 448.92
Problem: oc49x49, setup: 3.24 ms, time: 544.66 us, ``mflops'': 247.51
Problem: oc60x60, setup: 24.66 ms, time: 537.97 us, ``mflops'': 395.28
Problem: oc72x56, setup: 23.08 ms, time: 619.06 us, ``mflops'': 390.04
Problem: oc75x75, setup: 10.84 ms, time: 963.37 us, ``mflops'': 363.69
Problem: oc80x80, setup: 28.51 ms, time: 965.31 us, ``mflops'': 419.14
Problem: oc84x84, setup: 21.76 ms, time: 1.30 ms, ``mflops'': 345.66
Problem: oc96x96, setup: 38.70 ms, time: 1.51 ms, ``mflops'': 402.67
Problem: oc100x100, setup: 25.36 ms, time: 1.71 ms, ``mflops'': 388.67
Problem: oc105x105, setup: 11.93 ms, time: 2.39 ms, ``mflops'': 309.92
Problem: oc112x112, setup: 22.34 ms, time: 2.54 ms, ``mflops'': 336.05
Problem: oc120x120, setup: 51.71 ms, time: 2.39 ms, ``mflops'': 416.41
Problem: oc144x144, setup: 61.32 ms, time: 3.66 ms, ``mflops'': 405.91
Problem: oc180x180, setup: 68.31 ms, time: 8.00 ms, ``mflops'': 303.51
Problem: oc240x240, setup: 73.99 ms, time: 18.68 ms, ``mflops'': 243.8
Problem: oc360x360, setup: 103.90 ms, time: 50.98 ms, ``mflops'': 215.9
Problem: oc1000x1000, setup: 73.14 ms, time: 511.80 ms, ``mflops'': 194.72
Problem: oc1050x1050, setup: 69.23 ms, time: 599.89 ms, ``mflops'': 184.45
Problem: oc1458x1458, setup: 50.30 ms, time: 1.27 s, ``mflops'': 175.27
Problem: oc1960x1960, setup: 75.03 ms, time: 2.31 s, ``mflops'': 181.55
c i 3-D powers of two
Problem: ic4x4x4, setup: 2.72 ms, time: 3.23 us, ``mflops'': 595.02
Problem: ic8x8x8, setup: 2.75 ms, time: 28.85 us, ``mflops'': 798.52
Problem: ic4x8x16, setup: 3.17 ms, time: 30.82 us, ``mflops'': 747.51
Problem: ic16x16x16, setup: 3.30 ms, time: 404.44 us, ``mflops'': 607.66
Problem: ic32x32x32, setup: 14.07 ms, time: 4.38 ms, ``mflops'': 561.1
Problem: ic64x64x64, setup: 19.66 ms, time: 81.13 ms, ``mflops'': 290.8
Problem: ic256x64x32, setup: 31.50 ms, time: 257.29 ms, ``mflops'': 193.59
Problem: ic16x1024x64, setup: 46.58 ms, time: 544.37 ms, ``mflops'': 192.62
Problem: ic128x128x128, setup: 35.41 ms, time: 1.14 s, ``mflops'': 193.4
c o 3-D powers of two
