c i 1-D powers of two
Problem: oc128x128, setup: 461.28 ms, time: 1.62 ms, ``mflops'': 709.04
Problem: oc256x128, setup: 526.62 ms, time: 5.28 ms, ``mflops'': 465.5
Problem: oc512x64, setup: 839.19 ms, time: 5.48 ms, ``mflops'': 448.63
Problem: oc64x1024, setup: 1.61 s, time: 11.23 ms, ``mflops'': 466.86
Problem: oc256x256, setup: 1.39 s, time: 12.39 ms, ``mflops'': 423.12
Problem: oc512x512, setup: 3.20 s, time: 54.23 ms, ``mflops'': 435.05
Problem: oc1024x1024, setup: 10.45 s, time: 234.78 ms, ``mflops'': 446.63
Problem: oc2048x2048, setup: 21.39 s, time: 1.06 s, ``mflops'': 434.56
c i 2-D non-powers of two
Problem: ic5x5, setup: 8.24 ms, time: 1.30 us, ``mflops'': 447.73
Problem: ic6x6, setup: 9.06 ms, time: 1.35 us, ``mflops'': 688.15
Problem: ic7x7, setup: 8.88 ms, time: 2.89 us, ``mflops'': 475.84
Problem: ic9x9, setup: 12.63 ms, time: 5.45 us, ``mflops'': 470.81
Problem: ic10x10, setup: 14.10 ms, time: 4.16 us, ``mflops'': 799.03
Problem: ic11x11, setup: 19.71 ms, time: 10.49 us, ``mflops'': 399.03
Problem: ic12x12, setup: 15.75 ms, time: 5.30 us, ``mflops'': 973.17
Problem: ic13x13, setup: 21.64 ms, time: 10.64 us, ``mflops'': 587.78
Problem: ic14x14, setup: 18.59 ms, time: 12.19 us, ``mflops'': 612.2
Problem: ic15x15, setup: 17.15 ms, time: 10.82 us, ``mflops'': 812.55
Problem: ic25x24, setup: 71.38 ms, time: 64.13 us, ``mflops'': 431.71
Problem: ic48x48, setup: 186.41 ms, time: 218.88 us, ``mflops'': 587.9
Problem: ic49x49, setup: 54.63 ms, time: 331.88 us, ``mflops'': 406.2
Problem: ic60x60, setup: 231.11 ms, time: 376.69 us, ``mflops'': 564.52
Problem: ic72x56, setup: 218.66 ms, time: 454.91 us, ``mflops'': 530.8
Problem: ic75x75, setup: 158.24 ms, time: 696.19 us, ``mflops'': 503.27
Problem: ic80x80, setup: 334.48 ms, time: 619.91 us, ``mflops'': 652.68
Problem: ic84x84, setup: 232.64 ms, time: 816.37 us, ``mflops'': 552.49
Problem: ic96x96, setup: 412.82 ms, time: 856.37 us, ``mflops'': 708.65
Problem: ic100x100, setup: 344.03 ms, time: 1.04 ms, ``mflops'': 641.49
Problem: ic105x105, setup: 203.31 ms, time: 1.40 ms, ``mflops'': 527.33
Problem: ic112x112, setup: 333.65 ms, time: 1.64 ms, ``mflops'': 519.37
Problem: ic120x120, setup: 583.72 ms, time: 1.66 ms, ``mflops'': 600.74
Problem: ic144x144, setup: 733.26 ms, time: 2.61 ms, ``mflops'': 569.8
Problem: ic180x180, setup: 1.06 s, time: 4.84 ms, ``mflops'': 501.03
Problem: ic240x240, setup: 1.66 s, time: 9.14 ms, ``mflops'': 498.29
Problem: ic360x360, setup: 2.87 s, time: 33.78 ms, ``mflops'': 325.76
Problem: ic1000x1000, setup: 12.16 s, time: 289.40 ms, ``mflops'': 344.36
Problem: ic1050x1050, setup: 13.20 s, time: 322.33 ms, ``mflops'': 343.28
Problem: ic1458x1458, setup: 18.88 s, time: 874.07 ms, ``mflops'': 255.6
Problem: ic1960x1960, setup: 21.16 s, time: 1.32 s, ``mflops'': 319.15
c o 2-D non-powers of two
Problem: oc5x5, setup: 7.84 ms, time: 1.21 us, ``mflops'': 481.65
Problem: oc6x6, setup: 8.36 ms, time: 1.35 us, ``mflops'': 690.02
Problem: oc7x7, setup: 7.93 ms, time: 2.78 us, ``mflops'': 494.99
Problem: oc9x9, setup: 10.92 ms, time: 5.32 us, ``mflops'': 482.65
Problem: oc10x10, setup: 12.76 ms, time: 4.07 us, ``mflops'': 816.58
Problem: oc11x11, setup: 16.51 ms, time: 10.52 us, ``mflops'': 397.88
Problem: oc12x12, setup: 13.21 ms, time: 5.16 us, ``mflops'': 1001.3
Problem: oc13x13, setup: 18.22 ms, time: 10.52 us, ``mflops'': 594.43
Problem: oc14x14, setup: 16.27 ms, time: 12.16 us, ``mflops'': 613.68
Problem: oc15x15, setup: 15.20 ms, time: 10.40 us, ``mflops'': 845.13
Problem: oc25x24, setup: 48.83 ms, time: 62.11 us, ``mflops'': 445.77
Problem: oc48x48, setup: 188.51 ms, time: 215.05 us, ``mflops'': 598.37
Problem: oc49x49, setup: 46.45 ms, time: 326.16 us, ``mflops'': 413.33
Problem: oc60x60, setup: 252.69 ms, time: 363.34 us, ``mflops'': 585.25
Problem: oc72x56, setup: 192.29 ms, time: 438.69 us, ``mflops'': 550.42
Problem: oc75x75, setup: 142.64 ms, time: 673.31 us, ``mflops'': 520.37
Problem: oc80x80, setup: 327.70 ms, time: 629.44 us, ``mflops'': 642.8
Problem: oc84x84, setup: 241.00 ms, time: 827.81 us, ``mflops'': 544.86
Problem: oc96x96, setup: 423.16 ms, time: 873.62 us, ``mflops'': 694.66
Problem: oc100x100, setup: 346.01 ms, time: 1.04 ms, ``mflops'': 639.14
Problem: oc105x105, setup: 196.90 ms, time: 1.58 ms, ``mflops'': 467.59
Problem: oc112x112, setup: 316.78 ms, time: 1.61 ms, ``mflops'': 529.19
Problem: oc120x120, setup: 640.00 ms, time: 1.67 ms, ``mflops'': 595.25
Problem: oc144x144, setup: 747.88 ms, time: 2.94 ms, ``mflops'': 506.13
Problem: oc180x180, setup: 1.08 s, time: 5.74 ms, ``mflops'': 423.11
Problem: oc240x240, setup: 1.68 s, time: 10.35 ms, ``mflops'': 440.21
Problem: oc360x360, setup: 2.52 s, time: 34.33 ms, ``mflops'': 320.55
Problem: oc1000x1000, setup: 9.79 s, time: 284.37 ms, ``mflops'': 350.45
Problem: oc1050x1050, setup: 10.67 s, time: 337.99 ms, ``mflops'': 327.37
Problem: oc1458x1458, setup: 14.23 s, time: 910.57 ms, ``mflops'': 245.36
Problem: oc1960x1960, setup: 16.10 s, time: 1.37 s, ``mflops'': 306.6
c i 3-D powers of two
Problem: ic4x4x4, setup: 18.01 ms, time: 3.81 us, ``mflops'': 504.32
Problem: ic8x8x8, setup: 24.14 ms, time: 26.94 us, ``mflops'': 855.19
Problem: ic4x8x16, setup: 29.15 ms, time: 29.68 us, ``mflops'': 776.19
Problem: ic16x16x16, setup: 86.21 ms, time: 247.48 us, ``mflops'': 993.03
Problem: ic32x32x32, setup: 561.08 ms, time: 3.73 ms, ``mflops'': 658.7
Problem: ic64x64x64, setup: 3.94 s, time: 43.73 ms, ``mflops'': 539.49
Problem: ic256x64x32, setup: 3.38 s, time: 99.15 ms, ``mflops'': 502.33
Problem: ic16x1024x64, setup: 9.91 s, time: 229.86 ms, ``mflops'': 456.17
Problem: ic128x128x128, setup: 11.72 s, time: 433.23 ms, ``mflops'': 508.27
c o 3-D powers of two
Problem: oc4x4x4, setup: 16.45 ms, time: 3.81 us, ``mflops'': 504.32
Problem: oc8x8x8, setup: 22.83 ms, time: 26.94 us, ``mflops'': 855.19
Problem: oc4x8x16, setup: 26.76 ms, time: 29.63 us, ``mflops'': 777.72
Problem: oc16x16x16, setup: 84.20 ms, time: 247.47 us, ``mflops'': 993.1
Problem: oc32x32x32, setup: 555.37 ms, time: 4.87 ms, ``mflops'': 504.9
Problem: oc64x64x64, setup: 3.94 s, time: 47.61 ms, ``mflops'': 495.57
Problem: oc256x64x32, setup: 3.36 s, time: 108.89 ms, ``mflops'': 457.41
Problem: oc16x1024x64, setup: 10.28 s, time: 230.75 ms, ``mflops'': 454.42
Problem: oc128x128x128, setup: 11.84 s, time: 480.23 ms, ``mflops'': 458.53
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 16.42 ms, time: 9.66 us, ``mflops'': 450.86
Problem: ic6x6x6, setup: 19.59 ms, time: 11.98 us, ``mflops'': 699.08
Problem: ic7x7x7, setup: 21.12 ms, time: 30.64 us, ``mflops'': 471.43
Problem: ic9x9x9, setup: 32.35 ms, time: 73.20 us, ``mflops'': 473.57
Problem: ic10x10x10, setup: 36.68 ms, time: 62.11 us, ``mflops'': 802.28
Problem: ic11x11x11, setup: 55.66 ms, time: 173.56 us, ``mflops'': 397.94
Problem: ic12x12x12, setup: 48.25 ms, time: 96.80 us, ``mflops'': 959.97
Problem: ic13x13x13, setup: 71.69 ms, time: 207.91 us, ``mflops'': 586.55
