c i 1-D powers of two
Problem: oc8x4, setup: 2.38 ms, time: 1.11 us, ``mflops'': 721.84
Problem: oc4x8, setup: 3.36 ms, time: 1.24 us, ``mflops'': 646.82
Problem: oc8x8, setup: 3.36 ms, time: 2.21 us, ``mflops'': 867.64
Problem: oc16x16, setup: 4.09 ms, time: 10.16 us, ``mflops'': 1007.7
Problem: oc32x32, setup: 21.42 ms, time: 50.66 us, ``mflops'': 1010.6
Problem: oc64x64, setup: 36.71 ms, time: 276.56 us, ``mflops'': 888.62
Problem: oc16x512, setup: 43.43 ms, time: 603.69 us, ``mflops'': 882.05
Problem: oc128x64, setup: 48.46 ms, time: 583.66 us, ``mflops'': 912.32
Problem: oc128x128, setup: 67.54 ms, time: 1.56 ms, ``mflops'': 735.06
Problem: oc256x128, setup: 71.41 ms, time: 7.63 ms, ``mflops'': 322.12
Problem: oc512x64, setup: 91.49 ms, time: 7.86 ms, ``mflops'': 312.75
Problem: oc64x1024, setup: 81.18 ms, time: 16.17 ms, ``mflops'': 324.15
Problem: oc256x256, setup: 99.49 ms, time: 31.10 ms, ``mflops'': 168.59
Problem: oc512x512, setup: 132.17 ms, time: 150.09 ms, ``mflops'': 157.19
Problem: oc1024x1024, setup: 191.19 ms, time: 668.28 ms, ``mflops'': 156.91
Problem: oc2048x2048, setup: 260.07 ms, time: 3.02 s, ``mflops'': 152.76
c i 2-D non-powers of two
Problem: ic5x5, setup: 3.45 ms, time: 1.30 us, ``mflops'': 445.17
Problem: ic6x6, setup: 3.48 ms, time: 1.35 us, ``mflops'': 688.15
Problem: ic7x7, setup: 3.60 ms, time: 2.88 us, ``mflops'': 477.05
Problem: ic9x9, setup: 4.36 ms, time: 5.45 us, ``mflops'': 470.77
Problem: ic10x10, setup: 4.42 ms, time: 4.16 us, ``mflops'': 799.03
Problem: ic11x11, setup: 5.28 ms, time: 10.52 us, ``mflops'': 397.92
Problem: ic12x12, setup: 4.52 ms, time: 5.30 us, ``mflops'': 973.17
Problem: ic13x13, setup: 5.55 ms, time: 10.70 us, ``mflops'': 584.5
Problem: ic14x14, setup: 4.49 ms, time: 12.22 us, ``mflops'': 610.73
Problem: ic15x15, setup: 4.39 ms, time: 10.82 us, ``mflops'': 812.55
Problem: ic25x24, setup: 19.81 ms, time: 79.15 us, ``mflops'': 349.8
Problem: ic48x48, setup: 57.62 ms, time: 268.45 us, ``mflops'': 479.33
Problem: ic49x49, setup: 9.55 ms, time: 523.56 us, ``mflops'': 257.48
Problem: ic60x60, setup: 60.97 ms, time: 454.91 us, ``mflops'': 467.45
Problem: ic72x56, setup: 69.46 ms, time: 707.62 us, ``mflops'': 341.23
Problem: ic75x75, setup: 35.06 ms, time: 1.04 ms, ``mflops'': 337.06
Problem: ic80x80, setup: 85.18 ms, time: 783.94 us, ``mflops'': 516.12
Problem: ic84x84, setup: 58.11 ms, time: 1.59 ms, ``mflops'': 282.87
Problem: ic96x96, setup: 108.64 ms, time: 1.25 ms, ``mflops'': 487.23
Problem: ic100x100, setup: 73.27 ms, time: 1.68 ms, ``mflops'': 394.94
Problem: ic105x105, setup: 29.30 ms, time: 2.28 ms, ``mflops'': 325.04
Problem: ic112x112, setup: 65.77 ms, time: 2.06 ms, ``mflops'': 413.74
Problem: ic120x120, setup: 129.21 ms, time: 3.16 ms, ``mflops'': 314.89
Problem: ic144x144, setup: 158.85 ms, time: 4.78 ms, ``mflops'': 311.3
Problem: ic180x180, setup: 171.60 ms, time: 8.38 ms, ``mflops'': 289.75
Problem: ic240x240, setup: 216.34 ms, time: 13.92 ms, ``mflops'': 327.28
Problem: ic360x360, setup: 301.52 ms, time: 49.04 ms, ``mflops'': 224.41
Problem: ic1000x1000, setup: 249.55 ms, time: 523.44 ms, ``mflops'': 190.39
Problem: ic1050x1050, setup: 193.45 ms, time: 429.05 ms, ``mflops'': 257.89
Problem: ic1458x1458, setup: 159.46 ms, time: 1.32 s, ``mflops'': 169.82
Problem: ic1960x1960, setup: 228.46 ms, time: 1.70 s, ``mflops'': 246.55
c o 2-D non-powers of two
Problem: oc5x5, setup: 3.17 ms, time: 1.22 us, ``mflops'': 477.25
Problem: oc6x6, setup: 3.36 ms, time: 1.35 us, ``mflops'': 688.15
Problem: oc7x7, setup: 2.87 ms, time: 2.78 us, ``mflops'': 494.99
Problem: oc9x9, setup: 3.75 ms, time: 5.32 us, ``mflops'': 482.65
Problem: oc10x10, setup: 3.91 ms, time: 4.06 us, ``mflops'': 818.1
Problem: oc11x11, setup: 4.18 ms, time: 10.52 us, ``mflops'': 397.92
Problem: oc12x12, setup: 3.72 ms, time: 5.16 us, ``mflops'': 1001.3
Problem: oc13x13, setup: 4.42 ms, time: 10.67 us, ``mflops'': 586.16
Problem: oc14x14, setup: 3.57 ms, time: 12.19 us, ``mflops'': 612.2
Problem: oc15x15, setup: 3.84 ms, time: 10.40 us, ``mflops'': 845.13
Problem: oc25x24, setup: 11.38 ms, time: 64.49 us, ``mflops'': 429.3
Problem: oc48x48, setup: 57.74 ms, time: 216.48 us, ``mflops'': 594.4
Problem: oc49x49, setup: 7.87 ms, time: 410.09 us, ``mflops'': 328.73
Problem: oc60x60, setup: 68.09 ms, time: 409.12 us, ``mflops'': 519.76
Problem: oc72x56, setup: 63.84 ms, time: 618.94 us, ``mflops'': 390.12
Problem: oc75x75, setup: 29.18 ms, time: 780.12 us, ``mflops'': 449.12
Problem: oc80x80, setup: 83.04 ms, time: 648.50 us, ``mflops'': 623.91
Problem: oc84x84, setup: 60.85 ms, time: 1.23 ms, ``mflops'': 365.49
Problem: oc96x96, setup: 113.37 ms, time: 972.75 us, ``mflops'': 623.87
Problem: oc100x100, setup: 73.85 ms, time: 1.27 ms, ``mflops'': 521.44
Problem: oc105x105, setup: 30.95 ms, time: 1.85 ms, ``mflops'': 399.3
Problem: oc112x112, setup: 64.67 ms, time: 1.84 ms, ``mflops'': 463.45
Problem: oc120x120, setup: 148.65 ms, time: 2.65 ms, ``mflops'': 375.67
Problem: oc144x144, setup: 175.60 ms, time: 4.18 ms, ``mflops'': 355.6
Problem: oc180x180, setup: 190.07 ms, time: 7.96 ms, ``mflops'': 304.75
Problem: oc240x240, setup: 258.55 ms, time: 13.89 ms, ``mflops'': 327.98
Problem: oc360x360, setup: 306.16 ms, time: 43.34 ms, ``mflops'': 253.96
Problem: oc1000x1000, setup: 238.35 ms, time: 485.11 ms, ``mflops'': 205.43
Problem: oc1050x1050, setup: 207.83 ms, time: 396.19 ms, ``mflops'': 279.29
Problem: oc1458x1458, setup: 149.66 ms, time: 1.25 s, ``mflops'': 178.1
Problem: oc1960x1960, setup: 233.80 ms, time: 1.57 s, ``mflops'': 266.96
c i 3-D powers of two
Problem: ic4x4x4, setup: 7.14 ms, time: 3.97 us, ``mflops'': 483.48
Problem: ic8x8x8, setup: 7.05 ms, time: 26.94 us, ``mflops'': 855.19
Problem: ic4x8x16, setup: 7.84 ms, time: 29.68 us, ``mflops'': 776.19
Problem: ic16x16x16, setup: 7.78 ms, time: 247.47 us, ``mflops'': 993.1
Problem: ic32x32x32, setup: 37.69 ms, time: 4.12 ms, ``mflops'': 596.54
Problem: ic64x64x64, setup: 51.18 ms, time: 64.18 ms, ``mflops'': 367.61
Problem: ic256x64x32, setup: 95.58 ms, time: 284.24 ms, ``mflops'': 175.23
Problem: ic16x1024x64, setup: 136.45 ms, time: 534.19 ms, ``mflops'': 196.29
Problem: ic128x128x128, setup: 94.85 ms, time: 636.85 ms, ``mflops'': 345.77
c o 3-D powers of two
Problem: oc4x4x4, setup: 5.92 ms, time: 3.89 us, ``mflops'': 493.68
Problem: oc8x8x8, setup: 6.04 ms, time: 26.94 us, ``mflops'': 855.19
Problem: oc4x8x16, setup: 7.29 ms, time: 29.68 us, ``mflops'': 776.19
Problem: oc16x16x16, setup: 7.20 ms, time: 247.48 us, ``mflops'': 993.03
Problem: oc32x32x32, setup: 32.17 ms, time: 5.31 ms, ``mflops'': 462.82
Problem: oc64x64x64, setup: 52.34 ms, time: 68.15 ms, ``mflops'': 346.21
Problem: oc256x64x32, setup: 87.68 ms, time: 295.54 ms, ``mflops'': 168.53
Problem: oc16x1024x64, setup: 127.17 ms, time: 546.79 ms, ``mflops'': 191.77
Problem: oc128x128x128, setup: 90.58 ms, time: 709.73 ms, ``mflops'': 310.26
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 6.35 ms, time: 9.64 us, ``mflops'': 451.57
Problem: ic6x6x6, setup: 6.50 ms, time: 11.98 us, ``mflops'': 699.08
Problem: ic7x7x7, setup: 6.29 ms, time: 30.64 us, ``mflops'': 471.43
Problem: ic9x9x9, setup: 7.51 ms, time: 73.20 us, ``mflops'': 473.57
Problem: ic10x10x10, setup: 7.63 ms, time: 62.11 us, ``mflops'': 802.28
Problem: ic11x11x11, setup: 8.61 ms, time: 173.56 us, ``mflops'': 397.94
Problem: ic12x12x12, setup: 8.51 ms, time: 96.80 us, ``mflops'': 959.97
Problem: ic13x13x13, setup: 8.57 ms, time: 207.91 us, ``mflops'': 586.55
Problem: ic14x14x14, setup: 7.57 ms, time: 257.02 us, ``mflops'': 609.73
Problem: ic15x15x15, setup: 7.63 ms, time: 241.28 us, ``mflops'': 819.73
Problem: ic24x25x28, setup: 46.36 ms, time: 3.85 ms, ``mflops'': 306.62
Problem: ic48x48x48, setup: 81.39 ms, time: 37.75 ms, ``mflops'': 245.42
Problem: ic49x49x49, setup: 19.65 ms, time: 58.29 ms, ``mflops'': 169.99
Problem: ic60x60x60, setup: 87.49 ms, time: 79.38 ms, ``mflops'': 241.11
Problem: ic72x60x56, setup: 125.25 ms, time: 105.01 ms, ``mflops'': 206
Problem: ic75x75x75, setup: 47.85 ms, time: 184.05 ms, ``mflops'': 214.16
Problem: ic80x80x80, setup: 117.74 ms, time: 192.72 ms, ``mflops'': 251.93
Problem: ic84x84x84, setup: 82.25 ms, time: 310.31 ms, ``mflops'': 183.15
Problem: ic96x96x96, setup: 147.65 ms, time: 443.85 ms, ``mflops'': 196.89
Problem: ic100x100x100, setup: 99.28 ms, time: 428.56 ms, ``mflops'': 232.54
Problem: ic105x105x105, setup: 42.54 ms, time: 594.77 ms, ``mflops'': 196.02
Problem: ic112x112x112, setup: 96.86 ms, time: 650.34 ms, ``mflops'': 220.59
Problem: ic120x120x120, setup: 177.13 ms, time: 902.94 ms, ``mflops'': 198.27
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 5.61 ms, time: 9.13 us, ``mflops'': 476.62
Problem: oc6x6x6, setup: 6.16 ms, time: 11.95 us, ``mflops'': 700.85
Problem: oc7x7x7, setup: 5.80 ms, time: 29.68 us, ``mflops'': 486.59
Problem: oc9x9x9, setup: 6.81 ms, time: 72.00 us, ``mflops'': 481.43
Problem: oc10x10x10, setup: 6.84 ms, time: 61.27 us, ``mflops'': 813.22
Problem: oc11x11x11, setup: 7.33 ms, time: 174.05 us, ``mflops'': 396.83
Problem: oc12x12x12, setup: 7.11 ms, time: 95.12 us, ``mflops'': 976.84
Problem: oc13x13x13, setup: 7.17 ms, time: 206.00 us, ``mflops'': 591.98
Problem: oc14x14x14, setup: 6.80 ms, time: 256.53 us, ``mflops'': 610.88
Problem: oc15x15x15, setup: 6.84 ms, time: 235.08 us, ``mflops'': 841.36
Problem: oc24x25x28, setup: 40.99 ms, time: 3.18 ms, ``mflops'': 370.59
Problem: oc48x48x48, setup: 81.24 ms, time: 36.10 ms, ``mflops'': 256.63
Problem: oc49x49x49, setup: 19.07 ms, time: 53.25 ms, ``mflops'': 186.06
Problem: oc60x60x60, setup: 93.93 ms, time: 78.86 ms, ``mflops'': 242.69
Problem: oc72x60x56, setup: 120.42 ms, time: 101.29 ms, ``mflops'': 213.57
Problem: oc75x75x75, setup: 42.60 ms, time: 173.68 ms, ``mflops'': 226.95
Problem: oc80x80x80, setup: 113.98 ms, time: 187.87 ms, ``mflops'': 258.44
Problem: oc84x84x84, setup: 86.12 ms, time: 284.61 ms, ``mflops'': 199.68
Problem: oc96x96x96, setup: 153.50 ms, time: 475.13 ms, ``mflops'': 183.93
Problem: oc100x100x100, setup: 102.39 ms, time: 406.53 ms, ``mflops'': 245.14
Problem: oc105x105x105, setup: 44.47 ms, time: 550.58 ms, ``mflops'': 211.76
Problem: oc112x112x112, setup: 90.88 ms, time: 639.93 ms, ``mflops'': 224.18
Problem: oc120x120x120, setup: 194.55 ms, time: 838.85 ms, ``mflops'': 213.42
r i 1-D powers of two
Problem: ir2, setup: 885.00 us, time: 152.50 ns, ``mflops'': 32.786
Problem: ir4, setup: 763.00 us, time: 256.58 ns, ``mflops'': 77.949
Problem: ir8, setup: 763.00 us, time: 532.71 ns, ``mflops'': 112.63
Problem: ir16, setup: 976.00 us, time: 1.12 us, ``mflops'': 142.45
Problem: ir32, setup: 10.74 ms, time: 1.46 us, ``mflops'': 273.23
Problem: ir64, setup: 24.99 ms, time: 2.83 us, ``mflops'': 339.1
Problem: ir128, setup: 42.30 ms, time: 5.92 us, ``mflops'': 378.63
Problem: ir256, setup: 82.86 ms, time: 12.22 us, ``mflops'': 419.03
Problem: ir512, setup: 118.50 ms, time: 23.66 us, ``mflops'': 486.85
Problem: ir1024, setup: 173.95 ms, time: 48.64 us, ``mflops'': 526.35
Problem: ir2048, setup: 237.43 ms, time: 104.19 us, ``mflops'': 540.56
Problem: ir4096, setup: 303.38 ms, time: 224.59 us, ``mflops'': 547.12
Problem: ir8192, setup: 393.28 ms, time: 482.56 us, ``mflops'': 551.72
Problem: ir16384, setup: 475.68 ms, time: 997.50 us, ``mflops'': 574.88
Problem: ir32768, setup: 577.64 ms, time: 2.88 ms, ``mflops'': 427.22
Problem: ir65536, setup: 678.48 ms, time: 7.38 ms, ``mflops'': 354.97
Problem: ir131072, setup: 769.36 ms, time: 18.68 ms, ``mflops'': 298.26
Problem: ir262144, setup: 552.31 ms, time: 35.80 ms, ``mflops'': 329.54
Problem: ir524288, setup: 794.81 ms, time: 109.80 ms, ``mflops'': 226.8
Problem: ir1048576, setup: 705.15 ms, time: 318.03 ms, ``mflops'': 164.86
Problem: ir2097152, setup: 1.10 s, time: 711.80 ms, ``mflops'': 154.68
r o 1-D powers of two
Problem: or2, setup: 122.00 us, time: 152.73 ns, ``mflops'': 32.737
Problem: or4, setup: 122.00 us, time: 249.13 ns, ``mflops'': 80.279
Problem: or8, setup: 153.00 us, time: 510.35 ns, ``mflops'': 117.57
Problem: or16, setup: 152.00 us, time: 1.10 us, ``mflops'': 145.34
Problem: or32, setup: 3.14 ms, time: 1.33 us, ``mflops'': 300.76
Problem: or64, setup: 7.35 ms, time: 2.40 us, ``mflops'': 400.77
Problem: or128, setup: 17.30 ms, time: 4.62 us, ``mflops'': 484.91
Problem: or256, setup: 38.61 ms, time: 9.03 us, ``mflops'': 567.01
Problem: or512, setup: 57.98 ms, time: 19.40 us, ``mflops'': 593.77
Problem: or1024, setup: 87.16 ms, time: 40.29 us, ``mflops'': 635.35
