c i 1-D powers of two
Problem: ic4x4x4, setup: 17.36 ms, time: 3.89 us, ``mflops'': 493.68
Problem: ic8x8x8, setup: 23.87 ms, time: 26.17 us, ``mflops'': 880.47
Problem: ic4x8x16, setup: 28.66 ms, time: 30.10 us, ``mflops'': 765.41
Problem: ic16x16x16, setup: 91.65 ms, time: 289.92 us, ``mflops'': 847.68
Problem: ic32x32x32, setup: 598.36 ms, time: 4.48 ms, ``mflops'': 548.72
Problem: ic64x64x64, setup: 4.23 s, time: 49.59 ms, ``mflops'': 475.73
Problem: ic256x64x32, setup: 3.58 s, time: 108.49 ms, ``mflops'': 459.08
Problem: ic16x1024x64, setup: 10.36 s, time: 248.39 ms, ``mflops'': 422.14
Problem: ic128x128x128, setup: 12.22 s, time: 526.63 ms, ``mflops'': 418.13
c o 3-D powers of two
Problem: oc4x4x4, setup: 16.39 ms, time: 3.71 us, ``mflops'': 517.46
Problem: oc8x8x8, setup: 23.50 ms, time: 26.70 us, ``mflops'': 862.82
Problem: oc4x8x16, setup: 26.76 ms, time: 30.10 us, ``mflops'': 765.41
Problem: oc16x16x16, setup: 88.87 ms, time: 289.92 us, ``mflops'': 847.68
Problem: oc32x32x32, setup: 580.84 ms, time: 5.48 ms, ``mflops'': 448.63
Problem: oc64x64x64, setup: 4.24 s, time: 55.88 ms, ``mflops'': 422.21
Problem: oc256x64x32, setup: 3.57 s, time: 119.88 ms, ``mflops'': 415.48
Problem: oc16x1024x64, setup: 10.69 s, time: 248.85 ms, ``mflops'': 421.36
Problem: oc128x128x128, setup: 12.48 s, time: 549.62 ms, ``mflops'': 400.64
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 16.73 ms, time: 11.50 us, ``mflops'': 378.41
Problem: ic6x6x6, setup: 19.35 ms, time: 13.38 us, ``mflops'': 625.87
Problem: ic7x7x7, setup: 22.06 ms, time: 34.93 us, ``mflops'': 413.51
Problem: ic9x9x9, setup: 34.27 ms, time: 84.88 us, ``mflops'': 408.36
Problem: ic10x10x10, setup: 38.24 ms, time: 74.51 us, ``mflops'': 668.77
Problem: ic11x11x11, setup: 62.93 ms, time: 219.34 us, ``mflops'': 314.88
Problem: ic12x12x12, setup: 48.16 ms, time: 102.52 us, ``mflops'': 906.35
